se_type,type,rank_group,rank_absolute,position,xpath,domain,title,url,breadcrumb,website_name,is_image,is_video,is_featured_snippet,is_malicious,description,pre_snippet,extended_snippet,amp_version,rating,highlighted,links,main_domain,relative_url,etv,impressions_etv,estimated_paid_traffic_cost,clickstream_etv,about_this_result_type,about_this_result_url,about_this_result_source,about_this_result_source_info,about_this_result_source_url,about_this_result_language,about_this_result_location,about_this_result_search_terms,about_this_result_related_terms,rank_changes_previous_rank_absolute,rank_changes_is_new,rank_changes_is_up,rank_changes_is_down,backlinks_info_referring_domains,backlinks_info_referring_main_domains,backlinks_info_referring_pages,backlinks_info_dofollow,backlinks_info_backlinks,backlinks_info_time_update,rank_info_page_rank,rank_info_main_domain_rank,items,about_this_result,backlinks_info,rating_rating_type,rating_value,rating_votes_count,rating_rating_max,sub_title,card_id,image_url,logo_url,cid,items_se_type,items_type,items_rank_group,items_rank_absolute,items_position,items_xpath,items_domain,items_title,items_url,items_breadcrumb,items_website_name,items_is_image,items_is_video,items_is_featured_snippet,items_is_malicious,items_description,items_pre_snippet,items_extended_snippet,items_amp_version,items_rating,items_highlighted,items_links,items_about_this_result,items_main_domain,items_relative_url,items_etv,items_impressions_etv,items_estimated_paid_traffic_cost,items_clickstream_etv,items_rank_changes,items_backlinks_info,items_rank_info
google,organic,10,11,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[11]/div[1]/div[1],www.pbs.org,A Science Odyssey: People and Discoveries: Albert Einstein,https://www.pbs.org/wgbh/aso/databank/entries/bpeins.html,https://www.pbs.org › aso › databank › entries › bpeins,PBS,False,False,False,False,Albert Einstein is one of the most recognized and well-known scientists of the century. His theories solved centuries-old problems in physics and rocked ...,,,False,,['Albert Einstein'],,pbs.org,/wgbh/aso/databank/entries/bpeins.html,3401.2999999999997,7.05798,7006.678,,about_this_result_element,https://www.pbs.org/wgbh/aso/databank/entries/bpeins.html,,,https://en.wikipedia.org/wiki/PBS,English,United States,"['albert', 'einstein']",,21.0,False,True,False,19.0,18.0,35.0,20.0,36.0,2023-07-01 13:13:53 +00:00,67.0,650.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,11,12,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[12]/div[1],www.brainyquote.com,Albert Einstein Quotes - BrainyQuote,https://www.brainyquote.com/authors/albert-einstein-quotes,https://www.brainyquote.com › authors › albert-einstei...,BrainyQuote,False,False,False,False,"Enjoy the best Albert Einstein Quotes at BrainyQuote. Quotations by Albert Einstein, German Physicist, Born March 14, 1879. Share with your friends.",,,False,,['Albert Einstein'],,brainyquote.com,/authors/albert-einstein-quotes,2739.1,5.68386,5642.546,,,,,,,,,,,10.0,False,False,True,285.0,271.0,1821.0,1508.0,1910.0,2023-07-01 12:45:25 +00:00,344.0,531.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,12,13,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[13]/div[1],www.goodreads.com,Quotes by Albert Einstein (Author of Sidelights on Relativity),https://www.goodreads.com/author/quotes/9810.Albert_Einstein,https://www.goodreads.com › author › 9810.Albert_E...,Goodreads,False,False,False,False,Albert Einstein Quotes · Two things are infinite: the universe and human stupidity; and I'm not sure about the universe. · There are only two ways to live your ...,,,False,,['Albert Einstein'],,goodreads.com,/author/quotes/9810.Albert_Einstein,2257.5,4.6845,4650.45,,,,,,,,,,,,True,False,False,172.0,160.0,985.0,893.0,1041.0,2023-07-30 01:02:37 +00:00,355.0,671.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,13,14,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[14]/div[1],ahf.nuclearmuseum.org,Albert Einstein - Nuclear Museum - Atomic Heritage Foundation,https://ahf.nuclearmuseum.org/ahf/profile/albert-einstein/,https://ahf.nuclearmuseum.org › ahf › profile › albert-...,Nuclear Museum,False,False,False,False,Albert Einstein (1879-1955) was a German-born theoretical physicist and winner of the 1921 Nobel Prize in Physics. Einstein influenced the beginning of the ...,,,False,,['Albert Einstein'],,nuclearmuseum.org,/ahf/profile/albert-einstein/,1775.8999999999999,3.68514,3658.354,,about_this_result_element,https://ahf.nuclearmuseum.org/ahf/profile/albert-einstein/,,,https://en.wikipedia.org/wiki/National_Museum_of_Nuclear_Science_%26_History,English,,"['albert', 'einstein']",,39.0,False,True,False,25.0,24.0,25.0,25.0,25.0,2023-07-01 12:52:25 +00:00,227.0,461.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,14,15,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[15]/div[1],www.ias.edu,Albert Einstein - Scholars,https://www.ias.edu/scholars/einstein,https://www.ias.edu › scholars › einstein,Institute for Advanced Study,False,False,False,False,"Physicist Albert Einstein (1879–1955) was one of the Institute's first Faculty members, serving from 1933 until his death in 1955, and he played a ...",,,False,,['Albert Einstein'],,ias.edu,/scholars/einstein,1685.6,3.49776,3472.336,,about_this_result_element,https://www.ias.edu/scholars/einstein,,,https://en.wikipedia.org/wiki/Institute_for_Advanced_Study,English,United States,"['albert', 'einstein']",,27.0,False,True,False,203.0,134.0,310.0,77.0,313.0,2023-07-01 18:59:17 +00:00,258.0,471.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,15,16,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[16]/div[1],www.smithsonianmag.com,The Year Of Albert Einstein | Science,https://www.smithsonianmag.com/science-nature/the-year-of-albert-einstein-75841381/,https://www.smithsonianmag.com › science-nature › t...,Smithsonian Magazine,False,False,False,False,"The Year Of Albert Einstein. His discoveries in 1905 would forever change our understanding of the universe. Amid the centennial hoopla, the trick is to ...",,,False,,['Albert Einstein'],,smithsonianmag.com,/science-nature/the-year-of-albert-einstein-75841381/,1535.1000000000001,3.1854600000000004,3162.3060000000005,,about_this_result_element,https://www.smithsonianmag.com/science-nature/the-year-of-albert-einstein-75841381/,,,https://en.wikipedia.org/wiki/Smithsonian_(magazine),English,United States,"['albert', 'einstein']",,24.0,False,True,False,80.0,74.0,141.0,110.0,167.0,2023-07-01 23:20:33 +00:00,221.0,549.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,16,17,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[17]/div[1],www.thalesgroup.com,3 everyday inventions Einstein made possible,https://www.thalesgroup.com/en/markets/digital-identity-and-security/mobile/magazine/3-everyday-inventions-einstein-made-possible,https://www.thalesgroup.com › mobile › magazine › 3...,Thales Group,False,False,False,False,"Albert Einstein was a German-born physicist and one of the most influential scientists of the 20th century. He was born in Ulm, Germany, in 1879 ...",03/16/2023 00:00:00,,False,,['Albert Einstein'],,thalesgroup.com,/en/markets/digital-identity-and-security/mobile/magazine/3-everyday-inventions-einstein-made-possible,1294.3,2.6857800000000003,2666.258,,,,,,,,,,,17.0,False,False,False,24.0,23.0,52.0,29.0,52.0,2023-07-14 15:27:08 +00:00,160.0,522.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,17,18,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[18]/div[1],twitter.com,Albert Einstein (@AlbertEinstein) / Twitter,https://twitter.com/alberteinstein?lang=en,https://twitter.com › alberteinstein,Twitter,False,False,False,False,"@AlbertEinstein. Official Twitter account of the World's Favorite Genius. Managed by BEN Group, authorized representative of the Albert Einstein Estate.",,,False,,"['AlbertEinstein', 'Albert Einstein']",,twitter.com,/alberteinstein?lang=en,1294.3,2.6857800000000003,2666.258,,,,,,,,,,,15.0,False,False,True,,,,,,,0.0,984.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,18,19,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[19]/div[1],www.amnh.org,Einstein and the Manhattan Project,https://www.amnh.org/exhibitions/einstein/peace-and-war/the-manhattan-project,https://www.amnh.org › einstein › peace-and-war › th...,American Museum of Natural History,False,False,False,False,"Albert Einstein, upon hearing the news of the Hiroshima bombing. The Bombing of Japan. On August 9, 1945, the United States dropped an atomic bomb on the ...",,,False,,['Albert Einstein'],,amnh.org,/exhibitions/einstein/peace-and-war/the-manhattan-project,993.3,2.0611800000000002,2046.1979999999999,,about_this_result_element,https://www.amnh.org/exhibitions/einstein/peace-and-war/the-manhattan-project,,,https://en.wikipedia.org/wiki/American_Museum_of_Natural_History,English,United States,"['albert', 'einstein']",,,True,False,False,253.0,241.0,465.0,374.0,483.0,2023-07-01 18:20:45 +00:00,300.0,556.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,19,20,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[20]/div[1],einsteinmed.edu,Albert Einstein College of Medicine | Medical Education ...,https://einsteinmed.edu/,https://einsteinmed.edu,Albert Einstein College of Medicine,False,False,False,False,"Roundup of Research Briefs. A roundup of briefs on major NIH grants and published research by Einstein and Montefiore investigators include those on cancer, ...",,,False,,['Einstein'],,einsteinmed.edu,/,812.7,1.6864200000000003,1674.162,,about_this_result_element,https://einsteinmed.edu/,,,https://en.wikipedia.org/wiki/Albert_Einstein_College_of_Medicine,English,,"['albert', 'einstein']",,16.0,False,False,True,432.0,387.0,6963.0,6476.0,17912.0,2023-07-01 20:06:50 +00:00,542.0,434.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
